"","GBCODE","W1","W2","mean","se","df"
"1",110100,0.8736,0.1264,29.7876775384615,0.796511082450047,240
"2",110112,0.6115,0.3885,26.1126323076923,0.689477559071847,240
"3",110113,0.5378,0.4622,25.0792449230769,0.660452529230272,240
"4",110221,0.524559741,0.475440259,24.8935961222677,0.655298612173328,240
"5",110224,0.524559741,0.475440259,24.8935961222677,0.655298612173328,240
"6",110226,0.524559741,0.475440259,24.8935961222677,0.655298612173328,240
"7",110227,0.524559741,0.475440259,24.8935961222677,0.655298612173328,240
"8",110228,0.5505,0.4495,25.2573184615385,0.665414066684332,240
"9",110229,0.4864,0.5136,24.3585378461538,0.640555364745393,240
"10",120100,0.8622,0.1378,29.627832,0.791752522195778,240
"11",120221,0.3662,0.6338,22.6731489230769,0.595310043495057,240
"12",120222,0.38726886,0.61273114,22.9685667539077,0.603098347440305,240
"13",120223,0.4529,0.5471,23.8888163076923,0.627755190400069,240
"14",120224,0.38726886,0.61273114,22.9685667539077,0.603098347440305,240
"15",120225,0.3443,0.6557,22.3660772307692,0.587284425736198,240
"16",130101,0.506221991,0.493778009,24.6364726553446,0.648192780170731,240
"17",130121,0.2963,0.7037,21.6930433846154,0.569957891188386,240
"18",130123,0.4462,0.5538,23.794872,0.625211940968298,240
"19",130124,0.4196,0.5804,23.4218990769231,0.615172340158631,240
"20",130125,0.2041,0.7959,20.4002575384615,0.537802837469488,240
"21",130126,0.2678,0.7322,21.2934295384615,0.559852591520783,240
"22",130127,0.2521,0.7479,21.0732913846154,0.554347280728863,240
"23",130128,0.2885,0.7115,21.5836753846154,0.567178252797126,240
"24",130129,0.2052,0.7948,20.4156812307692,0.538176942496144,240
"25",130130,0.2443,0.7557,20.9639233846154,0.551628932752836,240
"26",130131,0.3035,0.6965,21.7939984615385,0.572532853280639,240
"27",130132,0.2405,0.7595,20.9106415384615,0.550308713184566,240
"28",130133,0.3073,0.6927,21.8472803076923,0.573895357925482,240
"29",130181,0.3842,0.6158,22.9255366153846,0.601959909831125,240
"30",130182,0.3692,0.6308,22.7152135384615,0.596415055894292,240
"31",130183,0.2981,0.7019,21.7182821538462,0.570600813870882,240
"32",130184,0.3988,0.6012,23.1302510769231,0.607387950586834,240
"33",130185,0.4056,0.5944,23.2255975384615,0.609926302602808,240
"34",130201,0.508225963,0.491774037,24.6645714258185,0.648967453932078,240
"35",130221,0.508225963,0.491774037,24.6645714258185,0.648967453932078,240
"36",130223,0.3756,0.6244,22.8049513846154,0.598776849003405,240
"37",130224,0.339,0.661,22.2917630769231,0.585353189388741,240
"38",130225,0.2939,0.7061,21.6593916923077,0.569101514187939,240
"39",130227,0.4104,0.5896,23.2929009230769,0.611721929787617,240
"40",130229,0.4146,0.5854,23.3517913846154,0.613295691599896,240
"41",130230,0.5901,0.4099,25.8125713846154,0.680993113696571,240
"42",130281,0.4067,0.5933,23.2410212307692,0.61033752049161,240
"43",130282,0.406722559,0.593277441,23.2413375426554,0.610345955568993,240
"44",130283,0.4241,0.5759,23.484996,0.616864201644592,240
"45",130301,0.475125393,0.524874607,24.2004505104646,0.636232050947822,240
"46",130321,0.2308,0.7692,20.7746326153846,0.546951035244721,240
"47",130322,0.2696,0.7304,21.3186683076923,0.560486610759386,240
"48",130323,0.2334,0.7666,20.8110886153846,0.547849277532374,240
"49",130324,0.17,0.83,19.9221230769231,0.526329039612851,240
"50",130401,0.434422203,0.565577797,23.6297291663723,0.620755207823292,240
"51",130421,0.5495,0.4505,25.2432969230769,0.6650227672598,240
"52",130423,0.3232,0.6768,22.0702227692308,0.57962213168478,240
"53",130424,0.366,0.634,22.6703446153846,0.595236423445146,240
"54",130425,0.2861,0.7139,21.5500236923077,0.56632507434297,240
"55",130426,0.4282,0.5718,23.5424843076923,0.61840802940105,240
"56",130427,0.3751,0.6249,22.7979406153846,0.598592117717075,240
"57",130428,0.2339,0.7661,20.8180993846154,0.548022164310957,240
"58",130429,0.3091,0.6909,21.8725190769231,0.57454159139597,240
"59",130430,0.3613,0.6387,22.6044433846154,0.593508067855649,240
"60",130431,0.2792,0.7208,21.4532750769231,0.563877736896679,240
"61",130432,0.2787,0.7213,21.4462643076923,0.563700715621894,240
"62",130433,0.3709,0.6291,22.7390501538462,0.597041820097232,240
"63",130434,0.375,0.625,22.7965384615385,0.598555175841358,240
"64",130481,0.3579,0.6421,22.5567701538462,0.592259830185443,240
"65",130485,0.357937729,0.642062271,22.5572991724708,0.592273672039119,240
"66",130501,0.400161006,0.599838994,23.1493344748985,0.607895481544663,240
"67",130521,0.3878,0.6122,22.9760141538462,0.603295518210912,240
"68",130522,0.3107,0.6893,21.8949535384615,0.575116470581378,240
"69",130523,0.3166,0.6834,21.9776806153846,0.57723997218622,240
"70",130524,0.2811,0.7189,21.479916,0.564550815852652,240
"71",130525,0.3409,0.6591,22.318404,0.586045017043277,240
"72",130526,0.3224,0.6776,22.0590055384615,0.57933301004878,240
"73",130527,0.3241,0.6759,22.0828421538462,0.579947516610577,240
"74",130528,0.3377,0.6623,22.2735350769231,0.584880158453749,240
"75",130529,0.3399,0.6601,22.3043824615385,0.585680827045769,240
"76",130530,0.3073,0.6927,21.8472803076923,0.573895357925482,240
"77",130531,0.2079,0.7921,20.4535393846154,0.539096230461373,240
"78",130532,0.3123,0.6877,21.917388,0.575691771443392,240
"79",130533,0.2201,0.7799,20.6246021538462,0.543268118761114,240
"80",130534,0.4369,0.5631,23.6644716923077,0.621691313058868,240
"81",130535,0.3467,0.6533,22.3997289230769,0.588160379772241,240
