"","GBCODE","W1","W2","mean","se","df","ci.low","ci.up"
"99",130635,0.3248,0.6752,22.0926572307692,0.580200683741995,240,20.949721275996,23.2355931855425
"100",130636,0.2169,0.7831,20.5797332307692,0.542171011416108,240,19.5117118375735,21.647754623965
"101",130637,0.3036,0.6964,21.7954006153846,0.572568677854159,240,20.6674989309607,22.9233022998085
"102",130638,0.3871,0.6129,22.9661990769231,0.603035671359561,240,21.778280534045,24.1541176198012
"103",130681,0.4316,0.5684,23.5901575384615,0.619689966777396,240,22.369431738426,24.8108833384971
"104",130682,0.4138,0.5862,23.3405741538462,0.612995742149855,240,22.1330352910731,24.5481130166192
"105",130683,0.366,0.634,22.6703446153846,0.595236423445146,240,21.4977897925285,23.8428994382407
"106",130684,0.4293,0.5707,23.557908,0.618822606705881,240,22.3388908105181,24.7769251894819
"107",130701,0.451606668,0.548393332,23.8706818033108,0.62726381020589,240,22.635036307017,25.1063272996045
"108",130721,0.2989,0.7011,21.7294993846154,0.570886732800635,240,20.6049109597748,22.854087809456
"109",130722,0.3238,0.6762,22.0786356923077,0.57983904050066,240,20.9364121377003,23.2208592469151
"110",130723,0.2537,0.7463,21.0957258461538,0.554906279174718,240,20.0026172791184,22.1888344131893
"111",130724,0.2209,0.7791,20.6358193846154,0.543542708740524,240,19.5650958881042,21.7065428811265
"112",130725,0.2453,0.7547,20.9779449230769,0.551976807746178,240,19.8906071148805,22.0652827312733
"113",130726,0.3249,0.6751,22.0940593846154,0.580236856894453,240,20.9510521724347,23.2370665967961
"114",130727,0.3216,0.6784,22.0477883076923,0.579043991546776,240,20.9071309181389,23.1884456972457
"115",130728,0.3579,0.6421,22.5567701538462,0.592259830185443,240,21.3900789150129,23.7234613926794
"116",130729,0.4372,0.5628,23.6686781538462,0.621804706681707,240,22.4437865326743,24.893569775018
"117",130730,0.3884,0.6116,22.9844270769231,0.603518299738949,240,21.7955578055418,24.1732963483043
"118",130731,0.2792,0.7208,21.4532750769231,0.563877736896679,240,20.3424936565379,22.5640564973082
"119",130732,0.2629,0.7371,21.224724,0.55812958706281,240,20.1252658463786,22.3241821536214
"120",130733,0.3309,0.6691,22.1781886153846,0.58241017050603,240,21.0309001978602,23.3254770329091
"121",130801,0.386704657,0.613295343,22.9606557598431,0.60288894709923,240,21.7730262487384,24.1482852709477
"122",130821,0.2602,0.7398,21.1868658461538,0.55718202294471,240,20.0892742968478,22.2844573954599
"123",130822,0.3043,0.6957,21.8052156923077,0.572819496590523,240,20.6768199206482,22.9336114639672
"124",130823,0.3052,0.6948,21.8178350769231,0.573142097836871,240,20.6888038138313,22.9468663400148
"125",130824,0.2773,0.7227,21.4266341538462,0.563205288839155,240,20.3171773872992,22.5360909203931
"126",130825,0.2587,0.7413,21.1658335384615,0.556656168596919,240,20.0692778683916,22.2623892085315
"127",130826,0.2783,0.7217,21.4406556923077,0.563559130087241,240,20.330501894723,22.5508094898924
"128",130827,0.3466,0.6534,22.3983267692308,0.588123863949941,240,21.2397829605036,23.5568705779579
"129",130828,0.2544,0.7456,21.1055409230769,0.555150988697997,240,20.0119503033303,22.1991315428236
"130",130901,0.4083,0.5917,23.2634556923077,0.610935953191938,240,22.0599744029316,24.4669369816838
"131",130921,0.161,0.839,19.7959292307692,0.523341794087597,240,18.7649994682593,20.8268589932792
"132",130922,0.4392,0.5608,23.6967212307692,0.622560963616984,240,22.4703398608491,24.9231026006894
"133",130923,0.4147,0.5853,23.3531935384615,0.613333191396134,240,22.1449899352163,24.5613971417068
"134",130924,0.3038,0.6962,21.7982049230769,0.572640332008664,240,20.6701620873035,22.9262477588503
"135",130925,0.3529,0.6471,22.4866624615385,0.590427357010813,240,21.3235810072783,23.6497439157986
"136",130926,0.377,0.623,22.8245815384615,0.599294290614267,240,21.6440331326655,24.0051299442575
"137",130927,0.2581,0.7419,21.1574206153846,0.556445941235192,240,20.0612790716974,22.2535621590718
"138",130928,0.3122,0.6878,21.9159858461538,0.575655802809625,240,20.782002841581,23.0499688507267
"139",130929,0.2437,0.7563,20.9555104615385,0.551420297333992,240,19.8692689218869,22.04175200119
"140",130930,0.424,0.576,23.4835938461538,0.61682657527302,240,22.2685086342711,24.6986790580366
"141",130981,0.4419,0.5581,23.7345793846154,0.623582734065004,240,22.5061852315061,24.9629735377247
"142",130982,0.5239,0.4761,24.8843455384615,0.655042307480435,240,23.5939792460807,26.1747118308424
"143",130983,0.5414,0.4586,25.1297224615385,0.661857184782869,240,23.8259315584762,26.4335133646007
"144",130984,0.3005,0.6995,21.7519338461538,0.57145889383729,240,20.6262183226402,22.8776493696675
"145",131001,0.4853,0.5147,24.3431141538462,0.640132891210966,240,23.0821178853149,25.6041104223774
"146",131022,0.4098,0.5902,23.284488,0.611497303347449,240,22.0799009082801,24.4890750917199
"147",131023,0.3279,0.6721,22.136124,0.581322795958329,240,20.9909775990255,23.2812704009745
"148",131024,0.5183,0.4817,24.8058249230769,0.652868706941954,240,23.5197404012564,26.0919094448975
