GBCODE,Incidence,SSHID,X,Y
441284,23.22,1,112.6689537,23.43073003
441900,27.24,1,113.877139,22.93790225
442000,27.93,1,113.3771641,22.51972732
450126,21.04,2,108.9303417,23.16525615
450200,41.18,1,109.3897749,24.36425164
450300,46.51,1,110.3232599,25.17633342
450403,25.71,1,111.3178484,23.48652041
450421,24.39,2,111.288363,23.6242235
450521,21.82,2,109.3453807,21.69946194
451421,16.73,2,107.8225028,22.52200973
469002,22.55,1,110.7708823,19.74598552
469028,23.73,2,109.9365579,18.56820981
500103,36.53,1,107.3292333,29.66158643
500106,30.81,1,106.3753045,29.62065269
500107,30.74,1,106.356495,29.42879758
500230,17.56,2,107.8248261,29.88682729
510105,22.32,1,104.2350696,30.67515829
510182,32.42,1,103.8783148,31.14504196
510302,22.11,1,104.7999319,29.29337546
510521,17.57,2,105.4763912,29.05807946
510723,13.18,2,105.4665972,31.2452002
510823,4.54,2,105.4947544,31.89841846
511524,9.61,2,104.9182978,28.51036952
511724,15.13,2,107.2677568,30.68569828
511802,28.68,1,103.0263782,29.92583926
511821,17.13,2,103.2167905,30.12792315
511822,25.62,2,102.6814851,29.73533813
511823,11.97,2,102.6132609,29.42602807
511825,16.92,2,102.5691994,30.07420451
511826,21.02,2,103.0065598,30.43588741
511827,9.03,2,102.7070063,30.56423713
520121,14.78,2,107.0372738,27.07366106
520303,30.4,1,106.8976947,27.70253929
520423,10.13,2,105.8220518,25.84438298
530302,27.01,1,103.8643553,25.63931096
530402,24.99,1,102.4906055,24.36768734
530425,18.02,2,102.1200974,24.6969775
532501,23.67,1,103.1385847,23.31213235
532523,13.83,2,103.7370779,23.10047511
542621,0,2,94.38235439,29.78111737
610126,15.31,2,109.0606961,34.51723383
610202,32.67,1,109.137536,35.1394969
610327,11.73,2,106.7646244,34.8712983
610328,22.3,2,107.1718358,34.76329213
610522,19.84,2,110.2852387,34.50895525
630100,25.53,1,101.7532356,36.6325374
630122,8.76,2,101.5470188,36.57467887
632126,8.22,2,102.1432867,36.84488983
632500,10.11,2,100.0564924,36.44142867
640205,23.01,2,106.6300424,39.17109101
640221,18.61,2,106.3948404,38.92351312
640381,28.27,1,105.9458254,37.94596198
650102,36.64,1,87.77807735,43.45938511
659001,41.82,1,86.0362655,44.30701823
