GBCODE,W1,W2
110000,85.96,14.04
110100,87.36,12.64
110101,100,0
110102,100,0
110103,100,0
110104,100,0
110105,99.64,0.36
110106,99.36,0.64
110107,100,0
110108,97.8,2.2
110109,85.57,14.43
110111,67.24,32.76
110112,61.15,38.85
110113,53.78,46.22
110114,78.93,21.07
110115,70.74,29.26
110116,67.87,32.13
110117,52.85,47.15
110200,52.46,47.54
110228,55.05,44.95
110229,48.64,51.36
120000,79.44,20.56
120100,86.22,13.78
120101,100,0
120102,100,0
120103,100,0
120104,100,0
120105,100,0
120106,100,0
120110,98.68,1.32
120111,73.61,26.39
120112,99.5,0.5
120113,85.95,14.05
120114,37.08,62.92
120115,34.03,65.97
120116,95.47,4.53
120200,38.73,61.27
120221,36.62,63.38
120223,45.29,54.71
120225,34.43,65.57
130000,43.94,56.06
130100,50.62,49.38
130102,100,0
130103,100,0
130104,100,0
130105,94.64,5.36
130107,67.33,32.67
130108,100,0
130121,29.63,70.37
130123,44.62,55.38
130124,41.96,58.04
130125,20.41,79.59
130126,26.78,73.22
130127,25.21,74.79
130128,28.85,71.15
130129,20.52,79.48
130130,24.43,75.57
130131,30.35,69.65
130132,24.05,75.95
130133,30.73,69.27
130181,38.42,61.58
130182,36.92,63.08
130183,29.81,70.19
130184,39.88,60.12
130185,40.56,59.44
130200,50.82,49.18
130202,90.38,9.62
130203,97.45,2.55
130204,81.2,18.8
130205,58.43,41.57
130207,54.83,45.17
130208,38.37,61.63
130223,37.56,62.44
130224,33.9,66.1
130225,29.39,70.61
130227,41.04,58.96
130229,41.46,58.54
130230,59.01,40.99
130281,40.67,59.33
130283,42.41,57.59
130300,47.51,52.49
130302,94.21,5.79
130303,91.85,8.15
130304,96.64,3.36
130321,23.08,76.92
130322,26.96,73.04
130323,23.34,76.66
130324,17,83
130400,43.44,56.56
130402,94.26,5.74
130403,100,0
130404,100,0
130406,78.86,21.14
130421,54.95,45.05
130423,32.32,67.68
130424,36.6,63.4
130425,28.61,71.39
130426,42.82,57.18
130427,37.51,62.49
130428,23.39,76.61
130429,30.91,69.09
130430,36.13,63.87
130431,27.92,72.08
130432,27.87,72.13
130433,37.09,62.91
130434,37.5,62.5
130435,26.5,73.5
130481,35.79,64.21
130500,40.02,59.98
130502,100,0
130503,99.65,0.35
130521,38.78,61.22
130522,31.07,68.93
130523,31.66,68.34
130524,28.11,71.89
130525,34.09,65.91
130526,32.24,67.76
130527,32.41,67.59
130528,33.77,66.23
130529,33.99,66.01
130530,30.73,69.27
130531,20.79,79.21
130532,31.23,68.77
130533,22.01,77.99
130534,43.69,56.31
130535,34.67,65.33
130581,40.14,59.86
130582,43.93,56.07
130600,38.77,61.23
130602,88.53,11.47
130603,92.42,7.58
130604,93.81,6.19
130621,34.3,65.7
130622,34.77,65.23
130623,29.49,70.51
130624,19.64,80.36
130625,34.42,65.58
130626,23.38,76.62
130627,23.28,76.72
130628,29.11,70.89
130629,38.36,61.64
130630,29.77,70.23
